rider_id,name,maximum_orders,maximum_workload_minutes,current_latitude,current_longitude,shift_start,shift_end,status
R-01,Alex Rivera,4,90.0,37.7749,-122.4194,0,540,AVAILABLE
R-02,Brenda Chen,5,105.0,37.7749,-122.4194,0,540,AVAILABLE
R-03,Carlos Gomez,5,105.0,37.7749,-122.4194,0,540,AVAILABLE
R-04,David Miller,4,90.0,37.7749,-122.4194,0,540,AVAILABLE
R-05,Elena Rostova,6,120.0,37.7749,-122.4194,0,540,AVAILABLE
R-06,Frank Wright,4,90.0,37.7749,-122.4194,0,540,AVAILABLE
R-07,Grace Kim,4,105.0,37.7749,-122.4194,0,540,AVAILABLE
R-08,Hassan Ali,5,90.0,37.7749,-122.4194,0,540,AVAILABLE
R-09,Irene Zhao,6,105.0,37.7749,-122.4194,0,540,AVAILABLE
R-10,James Wilson,6,120.0,37.7749,-122.4194,0,540,AVAILABLE
R-11,Kavita Patel,5,120.0,37.7749,-122.4194,0,540,AVAILABLE
R-12,Liam O'Connor,6,120.0,37.7749,-122.4194,0,540,AVAILABLE
R-13,Maria Santos,4,105.0,37.7749,-122.4194,0,540,AVAILABLE
R-14,Nathaniel Brown,6,120.0,37.7749,-122.4194,0,540,AVAILABLE
R-15,Olivia Taylor,5,105.0,37.7749,-122.4194,0,540,AVAILABLE
R-16,Pablo Fernandez,5,120.0,37.7749,-122.4194,0,540,AVAILABLE
R-17,Quinn Jackson,4,90.0,37.7749,-122.4194,0,540,AVAILABLE
R-18,Rachel Green,6,90.0,37.7749,-122.4194,0,540,AVAILABLE
R-19,Samir Khan,5,120.0,37.7749,-122.4194,0,540,AVAILABLE
R-20,Tina Martinez,6,120.0,37.7749,-122.4194,0,540,AVAILABLE
